,Raw,req-label,req,chunk-count,chunks-in-req,keyword-count,keywords-in-req
0,"PE:The system shall refresh the display every 60 seconds.
",PE,The system shall refresh the display every 60 seconds.,2,"system, display",7,"refresh, second, every, system, shall, display, 60"
1,"LF:The application shall match the color of the schema set forth by Department of Homeland Security
",LF,The application shall match the color of the schema set forth by Department of Homeland Security,5,"application, color, schema, set forth by department, of homeland security",10,"match, schema, application, set, homeland, security, department, shall, color, forth"
2,"US: If projected, the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30
",US," If projected, the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30",5,"10x10 projection screen, 90 %, read event, activity, viewing distance",16,"able, project, viewer, activity, screen, 90, readable, projection, data, must, distance, read, view, event, 10x10, 30"
3,"A: The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
",A, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,9,"product, business, user, has access, client pc, system, 99 %, time, of operation",18,"product, 99, month, system, shall, long, normal, client, pc, six, access, operation, available, first, hour, time, business, user"
4,"US: If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
",US, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,5,"data, 10x10 projection screen, 90 %, time, viewing distance",19,"viewer, 90, projection, distance, view, determine, occur, project, screen, data, must, current, event, able, understandable, 10x10, 100, time, activity"
5,"SE:The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts
",SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,3,"product, product, access",11,"able, product, attempt, distinguish, ensure, authorized, shall, unauthorized, user, authorize, access"
6,"US:The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.
",US,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,4,"product, 90 %, display, product",15,"able, within, product, new, 90, start, intuitive, minute, display, shall, event, use, user, self-explanatory, activity"
7,"PE:The product shall respond fast to keep up-to-date data in the display.
",PE,The product shall respond fast to keep up-to-date data in the display.,2,"product, display",8,"product, keep, up-to-date, data, shall, fast, display, respond"
8,"F:The system shall have a MDI form that allows for the viewing of the graph and the data table.
",F,The system shall have a MDI form that allows for the viewing of the graph and the data table.,5,"system, form, viewing, graph, table",9,"viewing, graph, table, data, allow, system, mdi, shall, form"
9,"F:The system shall display Events in a vertical table by time.
",F,The system shall display Events in a vertical table by time.,2,"system, table by time",7,"vertical, time, system, shall, event, display, table"
